"Topics","Breadth_SD","Depth_SD"
2,0.00504400295577109,0.00912566621885338
3,0.0259213168311265,0.0247840839466342
4,0.0625912473887058,0.0593602534366414
5,0.0835492608765284,0.0780156210782103
6,0.129302301242462,0.116024273713401
7,0.127002917992615,0.128246072173293
8,0.173492584420526,0.167818129463049
9,0.187387098770237,0.184618364106424
10,0.230615217726574,0.228513395227932
11,0.263144602124108,0.261443804157487
12,0.261811657833481,0.260400868382712
13,0.278184161247141,0.274736440555529
14,0.333157442816339,0.324217603897435
15,0.35817332108943,0.359915355302469
16,0.38229335633137,0.384081720091753
17,0.402237545448788,0.401806759285322
18,0.427495849022735,0.426014834876454
19,0.454356090645307,0.468589541534461
20,0.512937651360404,0.491201335413756
