emotion,valence,arousal
disappointment,-0.77,-0.02
annoyance,-0.666,0.436
sadness,-0.896,-0.424
disapproval,-0.83,0.102
love,1.0,0.038
anger,-0.666,0.73
realization,0.108,0.02
neutral,-0.062,-0.632
approval,0.708,-0.08
disgust,-0.896,0.55
joy,0.96,0.648
admiration,0.938,0.166
embarrassment,-0.714,0.37
amusement,0.858,0.674
confusion,-0.49,0.334
nervousness,-0.674,0.83
remorse,-0.794,0.346
optimism,0.898,0.13
desire,0.792,0.384
relief,0.688,-0.444
caring,0.27,-0.062
excitement,0.792,0.368
grief,-0.86,0.28
surprise,0.75,0.75
curiosity,0.5,0.51
pride,0.458,0.268
fear,-0.854,0.68
gratitude,0.77,-0.118
